	XBN``````````````````````0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
-0.048874377,0.928374019,1.551636926,1.41860781,1.235087759,-0.079544727,1.71926133,1.095831288,-0.399969858,-1.374986888,0.493913999,1.79100241,-1.847899765,0.764096187,-0.810179429,0.811047037,0.497512172,-1.347941046,0.8415201,-0.694955667,-0.023591265,-0.49104043,0.886078967,0.01090326,0.82640691,-0.613287763,1.192887451,-0.450663083,0.380763418,0.466065643,-0.817439322,-1.894454297,-1.759910728,-0.489777778,-0.584920085,0.065414111,-1.816627928,-0.544855702,0.25,0.75,0.75,0.25,0.75,1,0.75,0.25,0.75,1,1,1,0.75,0.25,0.25,0.75,1,0.25,0.75,0.75
-1.252609407,-1.172675508,-0.23751717,-1.713124141,-1.466470544,-0.721002207,-0.671849787,-1.167336399,-0.091692829,1.397147462,0.964012947,-1.735253981,2.283208438,0.141616496,1.193550809,0.315849092,0.168283526,-0.004595476,-0.583127763,-0.643586131,-1.287571624,1.401857557,0.363730624,0.559277135,-0.685778865,1.454423652,-0.283727433,-0.759936976,-1.13000562,1.262763866,-0.362166725,2.148347755,1.927089338,-0.320905412,1.413130887,-0.878481303,1.007556066,-0.757784632,0.75,0.75,0.25,0.25,0,0.75,0,0,0,0.75,0.25,0.75,0.25,1,0.25,1,0.75,0.75,0,0.75
-0.456167001,0.279671218,1.013622448,0.534423414,0.411556822,-0.373155803,1.147741263,0.375696537,-0.394640309,-0.478284066,0.643912556,0.768207256,-0.696754489,0.661595486,-0.178077339,0.776784346,0.481068462,-0.951781803,0.421817444,-0.70471282,-0.418291903,0.067132894,0.792974476,0.29616624,0.29418554,0.042467882,0.847335128,-0.607618027,-0.111327415,0.716819202,-0.748568377,-0.771304149,-0.668744613,-0.515718852,0.020038483,-0.271673608,-1.015658417,-0.642303905,0.75,1,0.25,0,0,0,0,0,0,0,0.75,0,0.75,0,0,0.75,0.75,0,0,0.75
-0.3674093,-0.141796435,0.519774837,0.124036599,0.007693688,-0.459365194,0.551745563,-0.049900804,-0.565797069,-0.090287244,0.452315395,0.745404846,-0.520694502,0.601837718,0.156346455,0.572195915,0.583159645,-0.57058817,0.655708226,-0.548490418,-0.347825401,0.240011769,0.57327153,0.463099663,-0.163535729,0.209153193,0.686784919,-0.491959375,-0.307523081,0.319345193,-0.57064198,-0.540082431,-0.351208099,-0.544596962,0.221369974,-0.401819051,-0.488919792,-0.497080435,0.75,0.75,0.25,0.25,0,0.25,0,0.75,0,0.25,0.25,0,0.25,1,0,0.25,0.75,0.25,0.25,0.75
-1.341240437,-2.38049578,-1.072365353,-2.507775665,-2.492095559,-1.555732873,-1.254520749,-2.431602966,-1.258287557,2.507820171,0.827056371,-0.991031398,2.001358047,0.744365046,2.302843689,0.512155814,1.141040007,0.501156017,0.72343611,-0.548612118,-1.38762701,2.011036396,0.410989018,1.663566188,-2.28432804,2.09764956,0.119975869,-1.006265378,-1.965060537,0.44220647,-0.537158291,1.989303759,2.410573365,-1.103336015,2.083920805,-1.698426254,1.932092273,-0.853192574,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.75,1,0,0.75
-0.651232231,0.114457763,1.092953523,0.248197683,0.228519205,-0.418615758,1.011667149,0.271942946,-0.392317499,-0.351002741,0.871941414,0.521286021,-0.302801445,0.670280198,-0.016525242,0.797988766,0.491662571,-1.051969512,0.347600506,-0.915152931,-0.688767576,0.336958076,0.890041493,0.324597121,0.303572025,0.258686317,0.818804119,-0.730912731,-0.287320165,0.984105416,-0.824640808,-0.40942296,-0.436371139,-0.565848968,0.260939005,-0.413728596,-0.891895406,-0.837325989,0.25,1,0.75,0,0,0.75,0,0,0.25,0.75,0.75,0,0.25,0.75,0,0.75,1,0,0.75,0.75
-1.163647258,-0.942787481,0.281530876,-1.119430458,-1.029542191,-0.877255043,-0.037750025,-0.844265119,-0.520476027,0.922593143,1.069720632,-0.635193422,1.207408301,0.5921505,0.980531313,0.662444289,0.586373997,-0.498123662,0.095142207,-0.908914772,-1.235850759,1.211680855,0.75454875,0.760589416,-0.5692602,1.208635388,0.34922158,-0.935478511,-1.05272593,1.206419891,-0.705823244,1.114561883,1.062237381,-0.686496364,1.174613777,-0.968432369,0.34928671,-0.992084679,0.25,1,0.75,0,0,0.25,0,0,0,0.75,0.25,0.25,0.25,0.75,0,0.75,0,0,0.25,0.75
-0.663616455,-0.354317681,0.385031681,-0.442874804,-0.355268898,-0.421965286,0.204543304,-0.264586927,-0.228442399,0.297695428,0.677133284,-0.272172681,0.543732329,0.354273586,0.386005287,0.427566763,0.305735923,-0.453101683,0.024168547,-0.589736668,-0.716343855,0.582838184,0.5071656,0.329263151,-0.120469973,0.581606899,0.279289894,-0.560560378,-0.494118151,0.798901227,-0.471447645,0.442184381,0.418189378,-0.364854407,0.54411863,-0.472185807,-0.060378007,-0.602396655,0.25,0.75,0.75,0.25,0.25,0.75,0.25,0.75,0.25,1,1,0.75,0.75,0.75,0.25,0.75,1,1,0,0.75
-0.803546615,0.205918028,1.420456014,0.397950852,0.374349478,-0.539340935,1.316312639,0.389881443,-0.469929472,-0.542529207,1.079669054,0.745633617,-0.466100055,0.859357513,-0.084932371,1.022931278,0.629479151,-1.387442614,0.475999474,-1.126842513,-0.833984371,0.376366278,1.135272783,0.375234931,0.437867599,0.279589584,1.037216771,-0.920661227,-0.309845947,1.242526665,-1.064203451,-0.625200036,-0.597459248,-0.70949099,0.29427963,-0.488099469,-1.182277777,-1.049090154,0,0.75,1,0.25,0.25,0.75,0.25,0,0.75,1,1,1,0.75,1,0.25,0.75,0.75,0.25,1,1
-0.352269157,0.07927927,0.526288862,0.040001991,0.093700687,-0.129675139,0.37161941,0.168640847,-0.031083506,-0.18462781,0.472268887,0.004425106,0.101193233,0.216093556,-0.04838439,0.315387216,0.115871034,-0.495221181,-0.052879347,-0.432659209,-0.401077351,0.199863161,0.406283452,0.051968577,0.248381509,0.171477028,0.259955049,-0.337053881,-0.120273434,0.605412169,-0.331642057,0.025143943,-0.107368211,-0.169768232,0.154180114,-0.15068825,-0.365644523,-0.405429543,0.25,0.25,0.75,0.75,0,0.75,0,0.25,0.25,0.75,0.25,0.25,0.75,1,0,0.75,0,0.75,0.25,0.75
