Morning,Afternoon,Evening,Night,CaseRatio,WordRatio,VerbRatio,NounRatio,PuncRatio,AdjectiveRatio,AdverbRatio,AbrvRatio,NumeralRatio,DeterminerRatio,PostPositiveRatio,DuplicatorRatio,ConjunctionRatio,InterjectionRatio,PronounRatio,QuestionRatio,IncorrectRatio,NegativeRatio,PluralRatio,PresentTimeRatio,FutureTimeRatio,PastTimeRatio,NarrTimeRatio,ProgTimeRatio,CondRatio,ImpRatio,NecessRatio,AbilRatio,NegAbilRatio,QuestionPuncRatio,ExclamationRatio,EllipsisRatio,CommaRatio,FullStopRatio,EnglishRatio,SmilingRatio,AffectedRatio,TongueRatio,NeutralRatio,UnwellRatio,NegRatio,RomanticRatio,FingersRatio,ActivityRatio,SportRatio,PlantRatio
0.895,0.632,0.105,0.368,72.151,9.579,0.632,4.526,1.474,0.789,0.316,0.000,0.421,0.211,0.211,0.000,0.368,0.000,0.263,0.053,0.947,0.053,0.579,0.053,0.105,0.000,0.105,0.158,0.000,0.105,0.000,0.000,0.053,0.053,0.000,0.105,0.000,0.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.826,0.487,0.174,0.513,88.274,16.403,1.005,9.050,2.021,1.156,0.357,0.000,0.412,0.353,0.229,0.005,0.391,0.055,0.172,0.025,2.809,0.137,1.014,0.116,0.073,0.380,0.053,0.153,0.038,0.124,0.010,0.026,0.026,0.048,0.109,0.066,0.000,0.313,0.037,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.001,0.000
0.423,0.795,0.577,0.205,95.175,10.889,1.616,4.230,0.970,1.005,0.772,0.000,0.168,0.468,0.263,0.015,0.378,0.057,0.514,0.083,0.599,0.323,0.913,0.255,0.088,0.413,0.120,0.386,0.058,0.188,0.017,0.052,0.060,0.050,0.027,0.045,0.000,0.283,0.003,0.037,0.013,0.010,0.018,0.007,0.003,0.042,0.042,0.005,0.000,0.002
0.710,0.698,0.290,0.302,75.259,11.725,1.075,4.793,1.184,0.684,0.488,0.000,0.173,0.372,0.141,0.001,0.442,0.095,0.387,0.089,2.477,0.153,0.636,0.161,0.064,0.262,0.071,0.241,0.037,0.151,0.007,0.026,0.032,0.082,0.049,0.013,0.000,0.116,0.036,0.114,0.033,0.006,0.006,0.011,0.001,0.091,0.021,0.000,0.000,0.010
0.625,0.673,0.375,0.327,88.295,14.623,1.727,6.984,1.639,1.210,0.587,0.000,0.250,0.480,0.242,0.008,0.355,0.065,0.391,0.075,1.493,0.264,1.546,0.262,0.084,0.327,0.121,0.335,0.054,0.342,0.013,0.026,0.046,0.053,0.092,0.070,0.000,0.402,0.018,0.004,0.006,0.000,0.000,0.012,0.005,0.015,0.018,0.001,0.001,0.002
0.548,0.720,0.452,0.280,87.663,16.726,1.286,8.558,2.039,1.226,0.503,0.000,0.416,0.437,0.246,0.004,0.462,0.068,0.262,0.042,2.588,0.185,1.176,0.174,0.074,0.355,0.117,0.219,0.060,0.173,0.015,0.027,0.032,0.063,0.087,0.046,0.000,0.425,0.029,0.009,0.002,0.000,0.000,0.002,0.001,0.001,0.003,0.000,0.000,0.001
0.644,0.614,0.356,0.386,83.101,10.504,0.680,3.391,1.598,0.515,0.141,0.000,0.178,0.262,0.077,0.004,0.088,0.016,0.746,0.020,1.189,0.051,0.417,0.040,0.031,0.379,0.015,0.112,0.004,0.072,0.003,0.012,0.004,0.048,0.165,0.214,0.000,0.045,0.003,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
0.835,0.521,0.165,0.479,93.028,12.353,1.120,6.360,1.380,1.196,0.470,0.000,0.311,0.550,0.193,0.003,0.401,0.026,0.113,0.022,1.112,0.086,1.364,0.137,0.077,0.361,0.060,0.267,0.025,0.120,0.006,0.050,0.008,0.034,0.142,0.102,0.000,0.606,0.007,0.016,0.001,0.001,0.001,0.000,0.000,0.007,0.005,0.000,0.001,0.000
0.582,0.669,0.418,0.331,94.315,13.361,1.463,6.069,1.060,1.427,0.780,0.000,0.215,0.668,0.292,0.004,0.630,0.066,0.339,0.037,1.035,0.261,1.097,0.236,0.071,0.403,0.130,0.327,0.071,0.144,0.016,0.070,0.038,0.031,0.003,0.011,0.000,0.516,0.015,0.005,0.001,0.000,0.000,0.001,0.000,0.005,0.002,0.000,0.000,0.000
0.714,0.724,0.286,0.276,67.106,10.727,0.888,5.413,1.442,0.794,0.382,0.000,0.277,0.220,0.153,0.004,0.232,0.031,0.147,0.038,1.372,0.102,0.815,0.113,0.053,0.320,0.047,0.128,0.036,0.137,0.002,0.021,0.030,0.036,0.074,0.073,0.000,0.181,0.026,0.068,0.020,0.002,0.022,0.007,0.004,0.030,0.031,0.000,0.000,0.011
0.977,0.352,0.023,0.648,89.508,15.093,1.142,7.822,1.703,1.370,0.451,0.000,0.470,0.359,0.233,0.003,0.423,0.027,0.206,0.032,1.886,0.189,1.258,0.125,0.086,0.342,0.093,0.183,0.040,0.148,0.010,0.035,0.023,0.049,0.101,0.060,0.000,0.305,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.000,0.000,0.000
0.660,0.617,0.340,0.383,87.656,10.486,0.798,5.754,1.154,0.708,0.385,0.000,0.309,0.166,0.137,0.004,0.272,0.043,0.076,0.021,2.010,0.075,0.671,0.089,0.073,0.300,0.031,0.132,0.024,0.097,0.007,0.030,0.026,0.033,0.109,0.063,0.000,0.238,0.062,0.004,0.002,0.000,0.000,0.000,0.002,0.000,0.005,0.000,0.000,0.000
0.505,0.741,0.495,0.259,89.147,15.293,1.195,8.019,1.661,1.310,0.437,0.000,0.322,0.413,0.223,0.001,0.426,0.060,0.305,0.044,2.036,0.182,1.519,0.164,0.074,0.271,0.088,0.183,0.041,0.219,0.014,0.020,0.033,0.045,0.085,0.057,0.000,0.337,0.010,0.055,0.001,0.000,0.000,0.001,0.000,0.014,0.009,0.000,0.002,0.001
0.483,0.634,0.517,0.366,89.255,16.878,1.109,7.934,2.478,1.409,0.545,0.000,0.613,0.510,0.240,0.000,0.434,0.033,0.225,0.047,2.361,0.167,1.081,0.190,0.052,0.264,0.099,0.182,0.052,0.149,0.004,0.062,0.026,0.074,0.058,0.130,0.000,0.370,0.023,0.009,0.003,0.001,0.001,0.001,0.000,0.003,0.003,0.000,0.000,0.002
0.857,0.295,0.143,0.705,84.144,12.728,1.286,6.223,1.415,0.982,0.420,0.000,0.201,0.241,0.188,0.004,0.295,0.058,0.250,0.036,1.643,0.143,1.232,0.134,0.112,0.375,0.094,0.259,0.040,0.188,0.022,0.013,0.049,0.031,0.103,0.085,0.000,0.241,0.000,0.022,0.000,0.000,0.009,0.000,0.000,0.004,0.000,0.000,0.000,0.000
